University,Location,Province,Established,Campuses,Specialization,Type
Riphah International University,Islamabad,Federal Capital Territory,2002,"Faisalabad,Lahore,Malakand",General,Private
Capital University of Science & Technology,Islamabad,Federal Capital Territory,1998,,General,Private
Quaid-i-Azam University,Islamabad,Federal Capital Territory,1967,,General,Public
Pakistan Institute of Engineering and Applied Sciences,Islamabad,Federal Capital Territory,1967,,General,Public
"National Defence University, Pakistan",Islamabad,Federal Capital Territory,1970,,General,Public
Allama Iqbal Open University,Islamabad,Federal Capital Territory,1974,,General,Public
"International Islamic University, Islamabad",Islamabad,Federal Capital Territory,1980,,General,Public
"National University of Sciences and Technology, Pakistan",Islamabad,Federal Capital Territory,1991,,General,Public
COMSATS University,Islamabad,Federal Capital Territory,1998,"Abbottabad,Attock,Lahore,Vehari,Sahiwal,Wah",General,Public
National University of Computer and Emerging Sciences,Islamabad,Federal Capital Territory,2000,"Chiniot,Karachi,Lahore,Peshawar",General,Private
Bahria University,Islamabad,Federal Capital Territory,2000,"Karachi,Lahore",General,Public
Sir Syed CASE Institute of Technology,Islamabad,Federal Capital Territory,2001,Sheikhupura,General,Private
"Federal Urdu University of Arts, Science and Technology",Islamabad,Federal Capital Territory,1949,Karachi,General,Public
Institute of Space Technology,Islamabad,Federal Capital Territory,2002,,General,Public
"Foundation University, Islamabad",Islamabad,Federal Capital Territory,2002,"Rawalpindi,Sialkot",General,Private
National University of Modern Languages,Islamabad,Federal Capital Territory,1969,"Faisalabad,Lahore,Multan,Karachi,Hyderabad,Peshawar,Quetta,Gwadar",General,Public
"Air University, Islamabad",Islamabad,Federal Capital Territory,2002,"Multan,Kamra",General,Public
Shifa Tameer-e-Millat University,Islamabad,Federal Capital Territory,2012,,General,Private
Shaheed Zulfiqar Ali Bhutto Medical University,Islamabad,Federal Capital Territory,2013,,Medical,Public
Muslim Youth University,Islamabad,Federal Capital Territory,2015,,General,Private
National University of Technology,Islamabad,Federal Capital Territory,2018,,Engineering and Technology,Public
Pakistan Institute of Development Economics,Islamabad,Federal Capital Territory,1957,,General,Public
National Skills University,Islamabad,Federal Capital Territory,2021,,Engineering and Technology,Public
Ibadat International University,Islamabad,Federal Capital Territory,1998,,General,Private
University of Balochistan,Quetta,Balochistan,1970,"Mastung,Kharan,Pishin",General,Public
Balochistan University of Engineering and Technology,Khuzdar,Balochistan,1987,,Engineering and Technology,Public
Al-Hamd Islamic University,Quetta,Balochistan,1995,Islamabad,General,Private
"Balochistan University of Information Technology, Engineering and Management Sciences",Quetta,Balochistan,2002,Zhob,General,Public
Sardar Bahadur Khan Women's University,Quetta,Balochistan,2004,"Noshki,Pishin,Khuzdar",General,Public
"Lasbela University of Agriculture, Water and Marine Sciences",Lasbela,Balochistan,2005,"Wadh,Dera Murad Jamali",General,Public
University of Turbat,Turbat,Balochistan,2012,"Gwadar
(2016-2021)",General,Public
University of Loralai,Loralai,Balochistan,2009,,General,Public
Mir Chakar Khan Rind University,Sibi,Balochistan,2019,,General,Public
University of Gwadar,Gwadar,Balochistan,2021,,General,Public
Islamia College University,Peshawar,Khyber Pakhtunkhwa,1913,,General,Public
Pakistan Military Academy,Abbotabad,Khyber Pakhtunkhwa,1947,,General,Military
Pakistan Air Force Academy,Risalpur,Khyber Pakhtunkhwa,1947,,General,Military
University of Peshawar,Peshawar,Khyber Pakhtunkhwa,1950,,General,Public
Gomal University,Dera Ismail Khan,Khyber Pakhtunkhwa,1974,Tank,General,Public
"University of Engineering and Technology, Peshawar",Peshawar,Khyber Pakhtunkhwa,1980,"Abbottabad,Bannu,Jalozai,Kohat",General,Public
"University of Agriculture, Peshawar",Peshawar,Khyber Pakhtunkhwa,1981,Mardan,General,Public
Preston University,Kohat,Khyber Pakhtunkhwa,1984,"Karachi,Islamabad,Lahore,Peshawar",General,Private
CECOS University of Information Technology and Emerging Sciences,Peshawar,Khyber Pakhtunkhwa,1986,,General,Private
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Swabi,Khyber Pakhtunkhwa,1988,,General,Private
Kohat University of Science and Technology,Kohat,Khyber Pakhtunkhwa,2001,Hangu,General,Public
